coin,change_type,old_size,new_size,old_position_value,new_position_value,timestamp,human_time
BTC,opened_long,,9e-05,,10.63062,1754806359514,2025-08-10 08:12:39
LTC,opened_long,,7376.85,,899090.478,1754806359514,2025-08-10 08:12:39
HYPE,opened_long,,77954.56,,3410512.0,1754806359514,2025-08-10 08:12:39
BTC,closed,9e-05,0.0,10.63098,0.0,1756406782785,2025-08-28 20:46:22
ETH,opened_long,,0.5755,,2581.29015,1756406782785,2025-08-28 20:46:22
LTC,decreased,7376.85,5303.77,899016.7095,597575.7659,1756406782785,2025-08-28 20:46:22
HYPE,increased,77954.56,95810.47,3406302.45376,4510469.49619,1756406782785,2025-08-28 20:46:22
PUMP,opened_long,,285423931.0,,923346.416785,1756406782785,2025-08-28 20:46:22
BTC,opened_short,,-282.42431,,25200438.75699,1766975469461,2025-12-29 03:31:09
ETH,flipped,0.5755,-3474.8332,2581.29015,10447433.49912,1766975469461,2025-12-29 03:31:09
ATOM,opened_short,,-3.63,,7.573995,1766975469461,2025-12-29 03:31:09
SOL,opened_short,,-70262.83,,9053365.6455,1766975469461,2025-12-29 03:31:09
AVAX,opened_short,,-16268.14,,209370.9618,1766975469461,2025-12-29 03:31:09
BNB,opened_short,,-832.24,,722134.648,1766975469461,2025-12-29 03:31:09
LTC,flipped,5303.77,-3199.53,597575.7659,253517.95908,1766975469461,2025-12-29 03:31:09
ARB,opened_long,,228969.7,,45171.142416,1766975469461,2025-12-29 03:31:09
DOGE,opened_short,,-9960702.0,,1259929.19598,1766975469461,2025-12-29 03:31:09
INJ,opened_short,,-0.4,,1.93188,1766975469461,2025-12-29 03:31:09
SUI,opened_long,,111247.2,,164512.35936,1766975469461,2025-12-29 03:31:09
kPEPE,opened_short,,-127948694.0,,546980.66685,1766975469461,2025-12-29 03:31:09
CRV,opened_short,,-123960.5,,49690.80603,1766975469461,2025-12-29 03:31:09
LDO,opened_short,,-1044431.1,,630763.274223,1766975469461,2025-12-29 03:31:09
LINK,opened_short,,-117361.0,,1495061.779,1766975469461,2025-12-29 03:31:09
STX,opened_short,,-4.1,,1.094536,1766975469461,2025-12-29 03:31:09
SNX,opened_short,,-5191.2,,2266.21836,1766975469461,2025-12-29 03:31:09
XRP,opened_short,,-2426111.0,,4595539.4562,1766975469461,2025-12-29 03:31:09
BCH,opened_short,,-167.629,,102878.94617,1766975469461,2025-12-29 03:31:09
APT,opened_short,,-17800.01,,31338.697606,1766975469461,2025-12-29 03:31:09
AAVE,opened_short,,-3188.79,,496048.1724,1766975469461,2025-12-29 03:31:09
WLD,opened_short,,-597675.2,,306798.633664,1766975469461,2025-12-29 03:31:09
TRX,opened_short,,-1156925.0,,330174.82575,1766975469461,2025-12-29 03:31:09
kSHIB,opened_short,,-584.0,,4.378832,1766975469461,2025-12-29 03:31:09
UNI,opened_short,,-94722.9,,598307.72556,1766975469461,2025-12-29 03:31:09
SEI,opened_short,,-1497669.0,,173579.8371,1766975469461,2025-12-29 03:31:09
TIA,opened_short,,-384172.1,,183396.077098,1766975469461,2025-12-29 03:31:09
