coin,size,entry_price,position_value,unrealized_pnl,leverage,margin_used,timestamp,human_time
BTC,21.60394,92940.8,2003030.90104,-4857.60385,20.0,100151.545052,1767619327353,2026-01-05 14:22:07
ETH,-2655.4376,3162.57,8382419.87192,15596.188104,15.0,558827.991461,1767619327353,2026-01-05 14:22:07
ATOM,-3.63,4.1899,8.31996,6.889739,5.0,1.663992,1767619327353,2026-01-05 14:22:07
SOL,-36519.27,134.1307,4906729.1172,-8373.857166,20.0,245336.45586,1767619327353,2026-01-05 14:22:07
AVAX,-4060.1,13.6058,57458.5352,-2217.30607,10.0,5745.85352,1767619327353,2026-01-05 14:22:07
BNB,-1016.959,870.079,919483.47985,-34647.908482,5.0,183896.69597,1767619327353,2026-01-05 14:22:07
LTC,-3502.21,81.6862,286473.77358,-391.27513,10.0,28647.377358,1767619327353,2026-01-05 14:22:07
ARB,-193253.6,0.21232,41217.127808,-184.853917,10.0,4121.71278,1767619327353,2026-01-05 14:22:07
DOGE,-35468849.0,0.148545,5227044.27713,41695.437714,10.0,522704.427713,1767619327353,2026-01-05 14:22:07
INJ,-0.4,7.83,2.04396,1.08804,10.0,0.204396,1767619327353,2026-01-05 14:22:07
SUI,-895244.2,1.70915,1503294.06064,26813.448757,10.0,150329.406064,1767619327353,2026-01-05 14:22:07
kPEPE,-282136220.0,0.006759,1905830.1661,1171.636653,10.0,190583.01661,1767619327353,2026-01-05 14:22:07
CRV,-571863.7,0.41061,239244.897532,-4431.298762,10.0,23924.489753,1767619327353,2026-01-05 14:22:07
LDO,-877018.9,0.56832,555547.622205,-57112.704638,5.0,111109.524441,1767619327353,2026-01-05 14:22:07
LINK,-155386.8,12.83298,2093992.5168,-99916.621605,10.0,209399.25168,1767619327353,2026-01-05 14:22:07
STX,-4.1,0.6031,1.449555,1.023155,5.0,0.289911,1767619327353,2026-01-05 14:22:07
SNX,-61709.5,0.46272,28602.35325,-47.818972,3.0,9534.11775,1767619327353,2026-01-05 14:22:07
XRP,-3273846.0,1.95324,6942845.2122,-548236.228099,10.0,694284.52122,1767619327353,2026-01-05 14:22:07
BCH,-215.604,647.854,140325.8634,-645.780119,10.0,14032.58634,1767619327353,2026-01-05 14:22:07
APT,-32323.36,1.9295,62028.52784,342.252242,10.0,6202.852784,1767619327353,2026-01-05 14:22:07
AAVE,-6693.69,155.1944,1101112.005,-62288.396092,10.0,110111.2005,1767619327353,2026-01-05 14:22:07
WLD,-1064174.3,0.5233,629139.84616,-72249.170555,10.0,62913.984616,1767619327353,2026-01-05 14:22:07
TRX,-2748557.0,0.286397,803842.98022,-16663.360212,10.0,80384.298022,1767619327353,2026-01-05 14:22:07
kSHIB,-584.0,0.014599,5.083136,3.44268,10.0,0.508313,1767619327353,2026-01-05 14:22:07
UNI,-46624.2,5.91303,272005.5828,3684.753866,10.0,27200.55828,1767619327353,2026-01-05 14:22:07
SEI,-3119744.0,0.117947,385163.59424,-17197.220341,10.0,38516.359424,1767619327353,2026-01-05 14:22:07
TIA,-1302587.0,0.48656,737511.73353,-103714.195399,10.0,73751.173353,1767619327353,2026-01-05 14:22:07
ADA,560471.0,0.392269,224390.16956,4534.543897,10.0,22439.016956,1767619327353,2026-01-05 14:22:07
TON,-124623.0,1.78553,236746.3131,-14227.010437,10.0,23674.63131,1767619327353,2026-01-05 14:22:07
NEAR,-3.5,2.5467,6.04555,2.8679,10.0,0.604555,1767619327353,2026-01-05 14:22:07
PYTH,-599519.0,0.0667,40827.2439,-839.140026,5.0,8165.44878,1767619327353,2026-01-05 14:22:07
kBONK,-21766789.0,0.01177,256869.876989,-662.43752,10.0,25686.987698,1767619327353,2026-01-05 14:22:07
JUP,-1012495.0,0.213386,217058.6781,-1006.218604,5.0,43411.73562,1767619327353,2026-01-05 14:22:07
WIF,-1500967.0,0.325362,585242.04297,-96883.903296,5.0,117048.408594,1767619327353,2026-01-05 14:22:07
ONDO,-878930.0,0.400294,382633.3862,-30802.56012,10.0,38263.33862,1767619327353,2026-01-05 14:22:07
STRK,38.9,0.18052,3.459377,-3.562851,3.0,1.153125,1767619327353,2026-01-05 14:22:07
TAO,-5429.953,235.556,1410375.99222,-131314.329077,5.0,282075.198444,1767619327353,2026-01-05 14:22:07
kFLOKI,-1500064.0,0.054741,84801.618048,-2686.470476,5.0,16960.323609,1767619327353,2026-01-05 14:22:07
ETHFI,9.0,1.1562,6.97599,-3.42981,5.0,1.395198,1767619327353,2026-01-05 14:22:07
ENA,-9802056.0,0.217391,2379547.11456,-248658.788747,5.0,475909.422912,1767619327353,2026-01-05 14:22:07
POPCAT,-3765126.0,0.092288,398124.42324,-50644.79508,3.0,132708.14108,1767619327353,2026-01-05 14:22:07
EIGEN,-673911.23,0.4047,277449.253391,-4706.644794,5.0,55489.850678,1767619327353,2026-01-05 14:22:07
TURBO,853.0,0.002621,1.756327,-0.479386,3.0,0.585442,1767619327353,2026-01-05 14:22:07
BLAST,673.0,0.008052,0.515518,-4.903829,3.0,0.171839,1767619327353,2026-01-05 14:22:07
GOAT,234.0,0.046428,9.74376,-1.120392,3.0,3.24792,1767619327353,2026-01-05 14:22:07
MOODENG,245.0,0.094647,20.87449,-2.314025,3.0,6.958163,1767619327353,2026-01-05 14:22:07
GRASS,3.0,1.292,0.99,-2.886003,3.0,0.33,1767619327353,2026-01-05 14:22:07
PURR,121.0,0.087038,8.100224,-2.431462,3.0,2.700074,1767619327353,2026-01-05 14:22:07
PNUT,-50.1,0.17553,4.532046,4.262007,3.0,1.510682,1767619327353,2026-01-05 14:22:07
XLM,-3.0,0.30042,0.69309,0.20817,5.0,0.138618,1767619327353,2026-01-05 14:22:07
CHILLGUY,647.0,0.05289,15.453595,-18.766235,3.0,5.151198,1767619327353,2026-01-05 14:22:07
HYPE,-613660.14,25.8744,15974800.76448,-96658.807577,3.0,5324933.58816,1767619327353,2026-01-05 14:22:07
ME,2.1,1.5,0.462693,-2.687307,3.0,0.154231,1767619327353,2026-01-05 14:22:07
VIRTUAL,-1171739.0,0.87845,1233138.1236,-203813.601961,5.0,246627.62472,1767619327353,2026-01-05 14:22:07
PENGU,-39391738.0,0.012155,488063.63382,-9223.753019,5.0,97612.726764,1767619327353,2026-01-05 14:22:07
USUAL,17.7,0.15174,0.484272,-2.201526,3.0,0.161424,1767619327353,2026-01-05 14:22:07
FARTCOIN,-5017995.4,0.31372,1894393.623408,-320114.949049,3.0,631464.541136,1767619327353,2026-01-05 14:22:07
AIXBT,-43788.0,0.041815,1807.918944,23.083643,3.0,602.639648,1767619327353,2026-01-05 14:22:07
GRIFFAIN,-5714970.0,0.016453,124803.51486,-30772.314503,3.0,41601.17162,1767619327353,2026-01-05 14:22:07
SPX,-1010536.2,0.56638,632403.659322,-60053.155835,5.0,126480.731864,1767619327353,2026-01-05 14:22:07
MORPHO,9.4,1.3726,10.80342,-2.09902,5.0,2.160684,1767619327353,2026-01-05 14:22:07
TRUMP,-202241.8,5.39014,1106222.19764,-16109.414514,10.0,110622.219764,1767619327353,2026-01-05 14:22:07
MELANIA,1512329.8,0.11995,199975.369454,18564.82775,3.0,66658.456484,1767619327353,2026-01-05 14:22:07
BERA,-1.5,2.5898,0.947775,2.936925,5.0,0.189555,1767619327353,2026-01-05 14:22:07
TST,41.0,0.074235,0.718443,-2.325192,3.0,0.239481,1767619327353,2026-01-05 14:22:07
LAYER,6.0,1.141,1.05672,-5.78928,3.0,0.35224,1767619327353,2026-01-05 14:22:07
IP,-339094.7,2.06717,708131.46201,-7163.342255,3.0,236043.82067,1767619327353,2026-01-05 14:22:07
KAITO,4.0,0.924478,2.1858,-1.512112,5.0,0.43716,1767619327353,2026-01-05 14:22:07
PAXG,-349.565,4381.841,1544692.7785,-12954.242577,5.0,308938.5557,1767619327353,2026-01-05 14:22:07
ZORA,-13963585.0,0.041414,610599.64488,-32304.887465,3.0,203533.21496,1767619327353,2026-01-05 14:22:07
SOPH,112.0,0.053636,1.472016,-4.53531,3.0,0.490672,1767619327353,2026-01-05 14:22:07
